ID,Category,ISBN,Title,Author,Editon,Description,Price,Genre
101,Adventure stories,9780199536564,The Adventures of Tom Sawyer,Mark Twain,Oxford World's Classics (Reissue Edition),The classic story of a young boy growing up in a small town on the Mississippi River filled with mischief adventure and humor.,$10.95,Adventure / Classics / Bildungsroman
102,Adventure stories,9780192833948,Treasure Island,Robert Louis Stevenson,Oxford World's Classics (Reissue Edition),A thrilling tale of pirates buried treasure and adventure on the high seas.,$9.95,Adventure / Classics
103,Adventure stories,9780486264721,The Call of the Wild,Jack London,Dover Thrift Edition (Unabridged),The story of Buck a dog who is stolen from his comfortable home and forced to adapt to life in the harsh wilderness of the Yukon during the Gold Rush.,$3.00,Adventure / Classics
104,Adventure stories,9780199538070,Around the World in 80 Days,Jules Verne,Oxford World's Classics (Reissue Edition),The story of Phileas Fogg and his valet Passepartout as they attempt to travel around the world in just 80 days.,$10.95,Adventure / Classics
105,Adventure stories,9780140449266,The Count of Monte Cristo,Alexandre Dumas,Penguin Classics (Reissue Edition),The classic tale of revenge as the young sailor Edmond Dantès is falsely accused of treason and imprisoned for years only to escape and seek vengeance on those who wronged him.,$14.00,Adventure / Classics
106,Adventure stories,9780141439822,Robinson Crusoe,Daniel Defoe,Penguin Classics (Reissue Edition),The story of Robinson Crusoe a young man who is stranded on a deserted island for years and must learn to survive on his own.,$10.00,Adventure / Classics
107,Adventure stories,9780140385438,The Swiss Family Robinson,Johann David Wyss,Puffin Classics (Reissue Edition),The classic story of a family shipwrecked on a deserted island who must use their ingenuity and resourcefulness to survive and thrive in their new home.,$8.99,Classics / Survival Fiction
108,Adventure stories,9780140449327,The Three Musketeers,Alexandre Dumas,Penguin Classics (Reissue Edition),The tale of D'Artagnan a young Gascon who travels to Paris to become a musketeer and finds himself embroiled in political intrigue romance and adventure.,$12.00,Adventure / Classics / Historical Fiction
109,Adventure stories,9780141325293,The Jungle Book,Rudyard Kipling,Puffin Classics (Reissue Edition),A collection of stories set in the Indian jungle featuring animals such as Mowgli the man-cub Baloo the bear and Bagheera the black panther.,$8.99,Adventure / Classics / Children's Literature
110,Adventure stories,9780345538986,Jurassic Park,Homer (Translated by Robert Fagles),Penguin Classics Deluxe Edition (Reissue Edition),The epic poem that tells the story of Odysseus a Greek hero who must journey home after fighting in the Trojan War facing many dangers and obstacles along the way.,$18.00,Adventure / Classics / Epic Poetry
201,Classics,9781593082199,Wuthering Heights,Emily Bronte,Barnes & Noble Classics (Reissue Edition),A passionate love story between Heathcliff and Catherine Earnshaw set against the dramatic moors of Yorkshire.,$8.95,Classics / Romance / Gothic
